SCHOOLID,STUDENT_NUMBER,LASTFIRST,GRADE_LEVEL,GENDER,COACH,ELASTATUS,ELASTATUSDATE,LTELSTATUS,plListen,plSpeak,plRead,plWrite,plOverall,celdtCriterion,SPEDCaseManager,SPEDNeeds,lowGrades,highGrades,missingAssignments,suspensionDetail,suspensionsCurrent,suspensionsLast,studentGoal,goalTimestamp,SBACM_Earliest,SBACM_Latest,SBACE_Earliest,SBACE_Latest,mTestPercentile,rTestPercentile,mFallToFall,rFallToFall,attendance,Merits,Demerits,Reflections,behaviorSummary,ANET1MathPercent,GradeLevelAverageMathANET1,ANETMathSummary,ANET1ELAPercent,GradeLevelAverageELAANET1,ANETELASummary,ANET2MathPercent,GradeLevelAverageMathANET2,ANET2MathSummary,ANET2ELAPercent,GradeLevelAverageELAANET2,ANET2ELASummary,numCel,improvements,celebrations,StaffCelebrations,ANETMATH,ANETELA,SPED,SBACELAProjection,SBACMathProjection
Demo School 3,100340,Hong Hust  ,6,F,Peter,RFEP,15-Jun-17,,No Data,No Data,No Data,No Data,No Data,Did not take CELDT,None,None,1,3,9,,0,0,"<br><br><strong class='bg-warning'>Goal set on Jan-8: </strong><i>trying to get in every class at least A,B. it is important to me because I want to make my perents proud because I have never really cared.. Sometimes I just give up because I never get,or sometimes I get too discrated.. If I ingore my classmates then I will start to pay more and ask more.. fouceing more paying more attion.</i>. <p style='margin-left: 40px'><b>Update on Feb 6  by coach </b><i>Awesome, Nayelli! How is this goal going? Do you have an A or a B in all of your classes currently? What are you doing to help maintain your grades so that you don't fall short of your goal?</i>In progress - on track</p>",43108.6337,,1,,2,4,18,at least 1 year,Less than a year,96% or higher,294,-72,2,rpg,0.210526316,0.36344239,Below average,0.133333333,0.390476191,Below average,0.185185185,0.394137453,Below average,0.090909091,0.415433404,Below average,4,"<li>Benchmark Math 2 score was below network average; you scored 19% while your classsmates scored 39%</li><li>Benchmark Math 1 score was below network average; you scored 21% while your classsmates scored 36%</li><li>Benchmark ELA 2 score was below network average; you scored 9% while your classsmates scored 42%</li><li>Benchmark ELA 1 score was below network average; you scored 13% while your classsmates scored 39%</li><li><b>Semester two: 3 courses with a grade below 80:</b><br><p style='margin-left: 40px'>F+/65 - 8th grade Science - as of  Feb 11 ; 3 absence(s) ; 6 assignment(s) were missing <i></i></p><p style='margin-left: 40px'>F/30 - 8th grade Algebra - as of  Feb 6 ; 2 absence(s) ; 4 assignment(s) were missing <i></i></p><p style='margin-left: 40px'>F/20 - English Language Arts 8 - as of  Feb 9 ; 3 absence(s) ; 7 assignment(s) were missing <i></i></p></li><li>Turn in <b>17 missing assignment(s): </b>9 classwork </li><li>Did not score college/career ready (Level 3 or 4) on <b>SBAC Math: Overall Level 1</b>, Concepts and Procedures - Below Standard, Problem Solving - Below Standard, Communicating Reasoning - Below Standard</li><li>Did not score college/career ready (Level 3 or 4) on <b>SBAC ELA: Overall Level 1</b>, Reading - Below Standard, Writing - Below Standard, Listening - Near Standard, Research/Inquiry - Below Standard</li><li><b>Not at grade level</b> (as of Jan 2018) <b>in Mathematics</b>; your approximate grade level is 3.6. To get closer to grade level, increase your current RIT score of 198 by 2
 points for one year of growth or by 3 points for 1.5 years of growth by Spring 1718.</li><li><b>Not at grade level</b> (as of Jan 2018) <b>in ELA</b>; your approximate grade level is 4.9. To get closer to grade level, increase your current RIT score of 205 by 2 points for one year of growth or by 3 points for 1.5 years of growth by Spring 1718.</li>",<li><b>Attendance 96%</b> - 103/107 days. Rate last year: 95%</li><li><b>On track to grow at least 1 year in Mathematics </b> this year! Current RIT score is 198 approximate grade level is 3.6</li><li><b>Reclassified as Fluent English Proficient</b> on 06-15-2017!</li>,,Net average is negative,Net average is negative,NO,1,1
Demo School 3,100341,Kyle Crapo  ,6,M,Peter,RFEP,13-Jun-16,,No Data,No Data,No Data,No Data,No Data,Did not take CELDT,None,None,1,2,13,,0,0,<br><br><strong class='bg-warning'>Goal set on Jan-8: </strong><i>I want to get a 60% or more on both my Anet and also get 1000 merit in 2 weeks.. So I can get more smarter.. When people talk and mess around!!!!!!!. I will keep them silent.. Nothing.</i>. <p style='margin-left: 40px'><b>Update on Feb 6  by coach </b><i>Do you know how you've previously done on the Anet? How does the 60% compare? And that merit goal is pretty intimidating! What things are you going to do in order to reach that?</i>In progress - on track</p>,43108.63561,,3,,3,2,12,Less than a year,at least 1 year,90 to 95%,2055,-85,1,rpg,0.25,0.397905759,Below average,0.411764706,0.387594642,At or above average,0.1,0.38120915,Below average,0.095238095,0.341482047,Below average,5,"<li>Benchmark Math 2 score was below network average; you scored 10% while your classsmates scored 38%</li><li>Benchmark Math 1 score was below network average; you scored 25% while your classsmates scored 40%</li><li>Benchmark ELA 2 score was below network average; you scored 10% while your classsmates scored 34%</li><li><b>Semester two: 2 courses with a grade below 80:</b><br><p style='margin-left: 40px'>D+/68 - 6th Grade Humanities - as of  Feb 10 ; 4 absence(s) ; 5 assignment(s) were missing <i></i></p><p style='margin-left: 40px'>D/65 - 6th grade Math - as of  Feb 9 ; 4 absence(s) ; 3 assignment(s) were missing <i></i></p></li><li>Turn in <b>9 missing assignment(s): </b>3 classwork 4 homework</li><li><b>Did not pass the CELDT test</b> in 2016. To pass on your next attempt, you must get a 3 or above in all areas and at least a 4 overall. Latest levels are: Listening 4; Speaking 4; Reading 2; Writing 3; Overall 3</li><li>Did not score college/career ready (Level 3 or 4) on <b>SBAC Math: Overall Level 1</b>, Concepts and Procedures - Below Standard, Problem Solving - Below Standard, Communicating Reasoning - Below Standard</li><li>Did not score college/career ready (Level 3 or 4) on <b>SBAC ELA: Overall Level 2</b>, Reading - Near Standard, Writing - Near Standard, Listening - Below Standard, Research/Inquiry - Near Standard</li><li><b>Not at grade level</b> (as of Jan 2018) <b>in Mathematics</b>; your approximate grade level is 2.8. To get closer to grade level, increase your current RIT score of 188 by 3
 points for one year of growth or by 5 points for 1.5 years of growth by Spring 1718.</li><li><b>Not at grade level</b> (as of Jan 2018) <b>in ELA</b>; your approximate grade level is 3.8. To get closer to grade level, increase your current RIT score of 197 by 3 points for one year of growth or by 5 points for 1.5 years of growth by Spring 1718.</li>",<li><b>Benchmark ELA 1 score was at or above the network average</b>; you scored 41% while your classsmates scored 39%</li><li><b>Attendance 93%</b> - 99/107 days. Rate last year: 94%</li><li><b>On track to grow at least 1 year in Reading</b> this year! Current RIT score is 197 approximate grade level is 3.8</li><li><b>Reclassified as Fluent English Proficient</b> on 06-13-2016!</li>,,Net average is negative,Net average is negative,NO,1,1
Demo School 3,100342,Layne Warr  ,6,M,Peter,EL,25-Aug-10,,No Data,No Data,No Data,No Data,No Data,Did not take CELDT,Lotus,Specific Learning Disability (SLD),3,0,23,,0,0,"<br><br><strong class='bg-warning'>Goal set on Jan-8: </strong><i>The goal i want to accomplish is getting all A's in mrs, Segura's class. This goal is important to me because i have a F in her class and i WANT a A in her class so my parents could be proud of me.. When i get bored i start not careing about stuff. Stop getting distracted easily and not getting in trouble. ima need good support.</i>. <p style='margin-left: 40px'><b>Update on Feb 6  by coach</b><i>This is a great goal, Fernando. What are you currently doing to help yourself reach that goal? I don't see you working on homework during college seminar. That could be something to start with! Also, when you say all straight A's, do you want even your previous scored assignments to be redone so you can get A's on those? Or are you addressing assignments in the future?</i>In progress - on track</p>",43108.63262,,1,,1,43,61,at least 1 year,High Achievement; at least 50th percentile,96% or higher,3830,-60,0,rpg,0.392857143,0.30726601,At or above average,0.391304348,0.344537815,At or above average,0.307692308,0.31722551,Below average,0.75,0.462104072,At or above average,11,"<li>Benchmark Math 2 score was below network average; you scored 31% while your classsmates scored 32%</li><li><b>Not at grade level</b> (as of Jan 2018) <b>in Mathematics</b>; your approximate grade level is 7.3. To get closer to grade level, increase your current RIT score of 223 by 2
 points for one year of growth or by 3 points for 1.5 years of growth by Spring 1718.</li>","<li><b>Benchmark Math 1 score was at or above network average</b>; you scored 39% while your classsmates scored 31%</li><li><b>Benchmark ELA 2 score was at or above the network average</b>; you scored 75% while your classsmates scored 46%</li><li><b>Benchmark ELA 1 score was at or above the network average</b>; you scored 39% while your classsmates scored 34%</li><li><b>Attendance 97%</b> - 104/107 days. Rate last year: 99%</li><li><b>Semester two: 2 courses with As/Bs:</b><br><p style='margin-left: 40px'>A+/100 7th grade Humanities <i></i></p><p style='margin-left: 40px'>A+/99 7th grade Pre-Algebra <i></i></p></li><li><b>Completed all class assignments</b> this year</li><li>College and Career Ready: SBAC <b> ELA level 3 </b>on the 2017 test</li><li>College and Career Ready: SBAC <b>Math level 3 </b>on the 2017 test</li><li><b>On track to grow at least 1 year in Mathematics </b> this year! Current RIT score is 223 approximate grade level is 7.3</li><li>As of Jan 2018, you are <b>at grade level 9 in ELA</b>. To stay at grade level, increase your current RIT score of 221 by 1 points.</li>",,Net average is at par or positive,High Score - 70%,YES,3,2
Demo School 3,100343,Candie Barbour  ,6,M,Peter,EL,29-Aug-05,,No Data,No Data,No Data,No Data,No Data,Did not take CELDT,None,None,3,0,22,,0,0,"<br><br><strong class='bg-warning'>Goal set on Jan-8: </strong><i>i want to accomplish math because i want to change my grade.. this is importanat because i want to pass math class.. i talk lot in class and i don t care.. i will am to lazy. to help me.</i>. <p style='margin-left: 40px'><b>Update on Feb 6  by coach</b><i>Great, Jesus! What do you want to change your grade in math to? What is your current math grade? One thing you can do to help reach this goal is use college seminar to work on your math homework. Often times you get out a book and don't even read it. You could make a decision to use your time more wisely and help yourself reach this goal! I will support you as well!</i>In progress - on track</p>",43108.63269,,1,,2,23,15,1.5 or more years,1.5 or more years,Less than 90 not improving,198,-4,1,rpg,0.333333333,0.397905759,Below average,,,,0.3,0.38120915,Below average,,0.341482047,,4,"<li>Benchmark Math 2 score was below network average; you scored 30% while your classsmates scored 38%</li><li>Benchmark Math 1 score was below network average; you scored 33% while your classsmates scored 40%</li><li><b>Attendance rate is not improving</b>. Last year 89% and 88% this year - 94/107 days<div id='calendar_basic' ></div></li><li><b>Semester two: 2 courses with a grade below 80:</b><br><p style='margin-left: 40px'>C-/71 - 6th Grade Science - as of  Feb 8 ; 5 absence(s) ; 3 assignment(s) were missing <i></i></p><p style='margin-left: 40px'>F/42 - English Lanquage Arts 6 - as of  Feb 5 ; 6 absence(s) ; 1 assignment(s) were missing <i></i></p></li><li>Turn in <b>4 missing assignment(s): </b>2 classwork </li><li><b>Did not pass the CELDT test</b> in 2016. To pass on your next attempt, you must get a 3 or above in all areas and at least a 4 overall. Latest levels are: Listening 3; Speaking 4; Reading 2; Writing 3; Overall 3</li><li>Did not score college/career ready (Level 3 or 4) on <b>SBAC Math: Overall Level 2</b>, Concepts and Procedures - Below Standard, Problem Solving - Near Standard, Communicating Reasoning - Below Standard</li><li>Did not score college/career ready (Level 3 or 4) on <b>SBAC ELA: Overall Level 1</b>, Reading - Below Standard, Writing - Below Standard, Listening - Below Standard, Research/Inquiry - Below Standard</li><li><b>Not at grade level</b> (as of Jan 2018) <b>in Mathematics</b>; your approximate grade level is 4.9. To get closer to grade level, increase your current RIT score of 210 by 3
 points for one year of growth or by 5 points for 1.5 years of growth by Spring 1718.</li><li><b>Not at grade level</b> (as of Jan 2018) <b>in ELA</b>; your approximate grade level is 4. To get closer to grade level, increase your current RIT score of 199 by 2 points for one year of growth or by 3 points for 1.5 years of growth by Spring 1718.</li>",<li><b>Semester two: 1 courses with As/Bs:</b><br><p style='margin-left: 40px'>B-/81 6th grade Math-<i></i></p></li><li><b>On track to grow 1.5 or more years in Mathematics </b> this year! Current RIT score is 210 approximate grade level is 4.9</li><li><b>On track to grow 1.5 or more years in Reading</b> this year! Current RIT score is 199 approximate grade level is 4</li>,,Net average is negative,,NO,1,1
Demo School 3,100344,Lanette Reddick  ,6,F,Peter,EO,8-Jan-13,,No Data,No Data,No Data,No Data,No Data,Did not take CELDT,None,None,1,3,15,,0,0,"<br><br><strong class='bg-warning'>Goal set on Jan-8: </strong><i>Is to get A+ on all of my classes because i don't want to be a failier. Because I don't want to fail I want to pass. Focusing on my education and focusing. I can tackle the obstacle by doing my homework when I am not in a good mood I don't feel like I want to do my homework. Is to get help and raise my hand and not be shy</i>. <p style='margin-left: 40px'><b>Update on Feb 6  by coach</b><i>This is an awesome goal, Angelina. What are your current grades? How do they compare to straight A's. What do you need to do to improve them? I love how you said you'd like to raise your hand more, and ask questions. That is a great skill to learn and to practice throughout all your years of schooling!</i>In progress - on track</p>",43108.6326,,1,,1,29,8,at least 1 year,Less than a year,96% or higher,217,-68,5,rpg,0.315789474,0.36344239,Below average,0.333333333,0.390476191,Below average,0.296296296,0.394137453,Below average,0.318181818,0.415433404,Below average,3,"<li>Benchmark Math 2 score was below network average; you scored 30% while your classsmates scored 39%</li><li>Benchmark Math 1 score was below network average; you scored 32% while your classsmates scored 36%</li><li>Benchmark ELA 2 score was below network average; you scored 32% while your classsmates scored 42%</li><li>Benchmark ELA 1 score was below network average; you scored 33% while your classsmates scored 39%</li><li><b>Semester two: 3 courses with a grade below 80:</b><br><p style='margin-left: 40px'>C+/77 - 8th grade Science - as of  Feb 11  ; 3 assignment(s) were missing <i></i></p><p style='margin-left: 40px'>F/42 - 8th grade Algebra - as of  Feb 9  ; 2 assignment(s) were missing <i></i></p><p style='margin-left: 40px'>F/24 - English Language Arts 8 - as of  Feb 12  ; 8 assignment(s) were missing <i></i></p></li><li>Turn in <b>13 missing assignment(s): </b>8 classwork </li><li>Did not score college/career ready (Level 3 or 4) on <b>SBAC Math: Overall Level 1</b>, Concepts and Procedures - Below Standard, Problem Solving - Below Standard, Communicating Reasoning - Near Standard</li><li>Did not score college/career ready (Level 3 or 4) on <b>SBAC ELA: Overall Level 1</b>, Reading - Below Standard, Writing - Below Standard, Listening - Below Standard, Research/Inquiry - Near Standard</li><li><b>Not at grade level</b> (as of Jan 2018) <b>in Mathematics</b>; your approximate grade level is 6.4. To get closer to grade level, increase your current RIT score of 219 by 2
 points for one year of growth or by 3 points for 1.5 years of growth by Spring 1718.</li><li><b>Not at grade level</b> (as of Jan 2018) <b>in ELA</b>; your approximate grade level is 3.9. To get closer to grade level, increase your current RIT score of 198 by 2 points for one year of growth or by 3 points for 1.5 years of growth by Spring 1718.</li>",<li><b>Attendance 100%</b> - 107/107 days. Rate last year: 100%</li><li><b>On track to grow at least 1 year in Mathematics </b> this year! Current RIT score is 219 approximate grade level is 6.4</li>,,Net average is negative,Net average is negative,NO,1,1
Demo School 3,100345,Kaitlin Bradish  ,6,F,Don,EL,28-Aug-10,,No Data,No Data,No Data,No Data,No Data,Did not take CELDT,None,None,1,2,16,,0,0,<br><br><strong class='bg-warning'>Goal set on Jan-17: </strong><i>it is getting good A+ at school and have woke done and home so i can get better at school.. because i feel like i am not doing good at school and i want to get better.. getting distacted by people that are around me.. by getting my work done .. I thing I need more help homework.</i>. <p style='margin-left: 40px'><b>Update on Feb 6  by coach</b><i>I have already seen a tremendous improvement on your work completions Deleini! I can tell you are really working towards your goal. What specific things can you continue to do or begin doing that will help you reach your goal sooner? Picking a specific date to reach your goal by will also help you. We can choose one together if you need help with that. Let myself and any other teachers know how we can help you.</i>In progress - on track</p>,43117.51377,,2,,1,5,20,Less than a year,at least 1 year,96% or higher,2370,-565,27,"Chronic/4/Jan-11/4/['Month','Detentions'],['Aug',4],['Sept',3],['Oct',4],['Nov',5],['Dec',3],['Jan',8],['Feb',0]",0.458333333,0.397905759,At or above average,0.470588235,0.387594642,At or above average,0.333333333,0.38120915,Below average,0.238095238,0.341482047,Below average,6,"<li>Benchmark Math 2 score was below network average; you scored 33% while your classsmates scored 38%</li><li>Benchmark ELA 2 score was below network average; you scored 24% while your classsmates scored 34%</li><li><b>Semester two: 2 courses with a grade below 80:</b><br><p style='margin-left: 40px'>C+/77 - 6th Grade Humanities - as of  Feb 10 ; 1 absence(s) ; 2 assignment(s) were missing <i></i></p><p style='margin-left: 40px'>F/54 - 6th grade Math - as of  Feb 9 ; 1 absence(s) ; 4 assignment(s) were missing <i></i></p></li><li>Turn in <b>7 missing assignment(s): </b>3 classwork 3 homework</li><li><b>Did not pass the CELDT test</b> in 2016. To pass on your next attempt, you must get a 3 or above in all areas and at least a 4 overall. Latest levels are: Listening 4; Speaking 5; Reading 2; Writing 2; Overall 3</li><li>Did not score college/career ready (Level 3 or 4) on <b>SBAC Math: Overall Level 2</b>, Concepts and Procedures - Near Standard, Problem Solving - Near Standard, Communicating Reasoning - Near Standard</li><li>Did not score college/career ready (Level 3 or 4) on <b>SBAC ELA: Overall Level 2</b>, Reading - Near Standard, Writing - Near Standard, Listening - Near Standard, Research/Inquiry - Near Standard</li><li><b>Not at grade level</b> (as of Jan 2018) <b>in Mathematics</b>; your approximate grade level is 3.5. To get closer to grade level, increase your current RIT score of 196 by 3
 points for one year of growth or by 5 points for 1.5 years of growth by Spring 1718.</li><li><b>Not at grade level</b> (as of Jan 2018) <b>in ELA</b>; your approximate grade level is 4.3. To get closer to grade level, increase your current RIT score of 202 by 2 points for one year of growth or by 3 points for 1.5 years of growth by Spring 1718.</li>",<li><b>Benchmark Math 1 score was at or above network average</b>; you scored 46% while your classsmates scored 40%</li><li><b>Benchmark ELA 1 score was at or above the network average</b>; you scored 47% while your classsmates scored 39%</li><li><b>Attendance 96%</b> - 103/107 days. Rate last year: 97%</li><li>Overall <b>CELDT level went up </b>from level 2 in 2015 to level 3 in 2016</li><li><b>On track to grow at least 1 year in Reading</b> this year! Current RIT score is 202 approximate grade level is 4.3</li>,,Net average is at par or positive,Net average is negative,NO,1,1
Demo School 3,100346,Fernando Perret  ,6,F,Don,EO,1-Nov-17,,No Data,No Data,No Data,No Data,No Data,Did not take CELDT,None,None,3,0,27,,0,0,,,,,,,55,79,High Achievement; at least 50th percentile,High Achievement; at least 75th percentile,96% or higher,411,-16,0,rpg,0.583333333,0.397905759,At or above average,0.823529412,0.387594642,At or above average,0.366666667,0.38120915,Below average,0.714285714,0.341482047,At or above average,11,<li>Benchmark Math 2 score was below network average; you scored 37% while your classsmates scored 38%</li><li><b>Semester two: 2 courses with a grade below 80:</b><br><p style='margin-left: 40px'>C+/78 - 6th grade Math - as of  Feb 8  <i></i></p><p style='margin-left: 40px'>C/75 - English Lanquage Arts 6 - as of  Feb 5  <i></i></p></li>,"<li><b>Benchmark Math 1 score was at or above network average</b>; you scored 58.% while your classsmates scored 40%</li><li><b>Benchmark ELA 2 score was at or above the network average</b>; you scored 71% while your classsmates scored 34%</li><li><b>Benchmark ELA 1 score was at or above the network average</b>; you scored 82% while your classsmates scored 39%</li><li><b>Attendance 100%</b> - 107/107 days. Rate last year: 98%</li><li><b>Semester two: 1 courses with As/Bs:</b><br><p style='margin-left: 40px'>A-/91 6th Grade Science-<i></i></p></li><li><b>Completed all class assignments</b> this year</li><li>College and Career Ready: SBAC <b> ELA level 4 </b>on the 2017 test</li><li>College and Career Ready: SBAC <b>Math level 4 </b>on the 2017 test</li><li>As of Jan 2018, you are <b>at grade level 7.5 in Mathematics</b>. To stay at grade level, increase your current RIT score of 224 by 3
 points.</li><li>As of Jan 2018, you are <b>at grade level 9 in ELA</b>. To stay at grade level, increase your current RIT score of 226 by 1 points.</li>",,Net average is at par or positive,High Score - 70%,NO,3,2
Demo School 3,100347,Julio Wendland  ,6,M,Don,RFEP,29-Nov-17,EL,4,5,4,5,4,1,Lotus,,1,2,16,,0,1,"<br><br><strong class='bg-warning'>Goal set on Jan-9: </strong><i>My goal is to ask lots more questions in class and practice more basketball. This goal is important to me because sometimes I don't ask questions and i want to start asking even more to get the lessons and not fail the exit tickets. My goal for basketball is to practice, to become better,practice as much as possible to become a better player that i am now.. I coul could prevent myself by not paying attention, and for basketball not practicing.. Becoming less shy and not being afraid to answer a question.. basketball lessons and have more confidence also believe in myself.</i>. <p style='margin-left: 40px'> Reflection on 02/5: Met the goal feeling Good. <i>my curosity and my ganasi want to get my goal more focused and measurable.</i></p><p style='margin-left: 40px'><b>Update on Feb 5  by coach</b><i>Liam is going to try to raise his hand an participate once per class per day.  In regards to Basketball Liam is going to try to average 50% free throw shooting by the end of February.</i>In progress - on track</p>",43109.53704,,1,,3,69,58,High Achievement; at least 50th percentile,High Achievement; at least 50th percentile,96% or higher,354,-28,4,rpg,0.458333333,0.397905759,At or above average,0.588235294,0.387594642,At or above average,0.533333333,0.38120915,At or above average,0.285714286,0.341482047,Below average,11,<li>Benchmark ELA 2 score was below network average; you scored 29.% while your classsmates scored 34%</li><li><b>Semester two: 1 courses with a grade below 80:</b><br><p style='margin-left: 40px'>F/51 - English Lanquage Arts 6 - as of  Feb 5 ; 2 absence(s) ; 1 assignment(s) were missing <i></i></p></li><li>Turn in <b>2 missing assignment(s): </b>2 classwork </li>,"<li><b>Benchmark Math 2 score was at or above network average</b>; you scored 53% while your classsmates scored 38%</li><li><b>Benchmark Math 1 score was at or above network average</b>; you scored 46% while your classsmates scored 40%</li><li><b>Benchmark ELA 1 score was at or above the network average</b>; you scored 59% while your classsmates scored 39%</li><li><b>Attendance 100%</b> - 107/107 days. Rate last year: 99%</li><li><b>Semester two: 2 courses with As/Bs:</b><br><p style='margin-left: 40px'>A-/90 6th Grade Science-<i></i></p><p style='margin-left: 40px'>B-/81 6th grade Math-<i></i></p></li><li>College and Career Ready: SBAC <b> ELA level 3 </b>on the 2017 test</li><li>College and Career Ready: SBAC <b>Math level 3 </b>on the 2017 test</li><li>As of Jan 2018, you are <b>at grade level 9 in Mathematics</b>. To stay at grade level, increase your current RIT score of 230 by 3
 points.</li><li>As of Jan 2018, you are <b>at grade level 8 in ELA</b>. To stay at grade level, increase your current RIT score of 217 by 1 points.</li><li><b>Reclassified as Fluent English Proficient</b> on 11-29-2017!</li>","NVACHHANI@ACECHARTER.ORG DEC 2017: Celebration for completing the Goal  setting sheet nearly independently last week! Would like to see more progress on this, including more meaningful reflections!",Net average is at par or positive,Net average is at par or positive,YES,3,3
Demo School 3,100348,Tawanna Denman  ,6,F,Don,EL,29-Aug-11,EL,4,5,3,4,4,1,None,None,0,3,1,,0,0,,,,1,,1,57,36,High Achievement; at least 50th percentile,Less than a year,96% or higher,390,-12,0,rpg,0.458333333,0.397905759,At or above average,0.764705882,0.387594642,At or above average,0.7,0.38120915,At or above average,0.476190476,0.341482047,At or above average,11,"<li><b>Semester two: 1 courses with a grade below 80:</b><br><p style='margin-left: 40px'>C-/71 - English Lanquage Arts 6 - as of  Feb 12  <i></i></p></li><li><b>Not at grade level</b> (as of Jan 2018) <b>in ELA</b>; your approximate grade level is 5.6. To get closer to grade level, increase your current RIT score of 209 by 2 points for one year of growth or by 3 points for 1.5 years of growth by Spring 1718.</li>","<li><b>Benchmark Math 2 score was at or above network average</b>; you scored 70% while your classsmates scored 38%</li><li><b>Benchmark Math 1 score was at or above network average</b>; you scored 46% while your classsmates scored 40%</li><li><b>Benchmark ELA 2 score was at or above the network average</b>; you scored 48% while your classsmates scored 34%</li><li><b>Benchmark ELA 1 score was at or above the network average</b>; you scored 76% while your classsmates scored 39%</li><li><b>Attendance 99%</b> - 106/107 days. Rate last year: 97%</li><li><b>Semester two: 2 courses with As/Bs:</b><br><p style='margin-left: 40px'>A/93 6th grade Math-<i></i></p><p style='margin-left: 40px'>B+/88 6th Grade Science-<i></i></p></li><li><b>Completed all class assignments</b> this year</li><li>College and Career Ready: SBAC <b> ELA level 3 </b>on the 2017 test</li><li>College and Career Ready: SBAC <b>Math level 4 </b>on the 2017 test</li><li>As of Jan 2018, you are <b>at grade level 7.7 in Mathematics</b>. To stay at grade level, increase your current RIT score of 225 by 3
 points.</li>",,High Score - 70%,Score decreased from 70%,NO,2,2
Demo School 3,100349,Hassie Kiddy  ,6,F,Don,RFEP,23-Aug-11,,5,5,4,3,4,1,None,None,0,3,8,,0,0,<br><br><strong class='bg-warning'>Goal set on Jan-9: </strong><i>to get better at math and reading. This is important to me because i am not the best a doing math and i need to improve in my reading.. not focusing and not getting your mind set. if i focus and get help from others the i will accomplish my goal.. tutoring me during college seminar</i>. ,43109.50888,,2,,2,10,9,at least 1 year,Less than a year,96% or higher,365,-96,4,rpg,0.416666667,0.397905759,At or above average,0.470588235,0.387594642,At or above average,0.2,0.38120915,Below average,0.190476191,0.341482047,Below average,6,"<li>Benchmark Math 2 score was below network average; you scored 20% while your classsmates scored 38%</li><li>Benchmark ELA 2 score was below network average; you scored 19% while your classsmates scored 34%</li><li><b>Semester two: 3 courses with a grade below 80:</b><br><p style='margin-left: 40px'>F+/68 - 6th grade Math - as of  Feb 8  <i></i></p><p style='margin-left: 40px'>F/42 - 6th Grade Science - as of  Feb 8  ; 5 assignment(s) were missing <i></i></p><p style='margin-left: 40px'>F/40 - English Lanquage Arts 6 - as of  Feb 5  ; 3 assignment(s) were missing <i></i></p></li><li>Turn in <b>8 missing assignment(s): </b>6 classwork </li><li><b>Did not pass the CELDT test</b> in 2016. To pass on your next attempt, you must get a 3 or above in all areas and at least a 4 overall. Latest levels are: Listening 5; Speaking 3; Reading 1; Writing 2; Overall 3</li><li>Did not score college/career ready (Level 3 or 4) on <b>SBAC Math: Overall Level 1</b>, Concepts and Procedures - Below Standard, Problem Solving - Near Standard, Communicating Reasoning - Below Standard</li><li>Did not score college/career ready (Level 3 or 4) on <b>SBAC ELA: Overall Level 1</b>, Reading - Below Standard, Writing - Below Standard, Listening - Near Standard, Research/Inquiry - Near Standard</li><li><b>Not at grade level</b> (as of Jan 2018) <b>in Mathematics</b>; your approximate grade level is 4. To get closer to grade level, increase your current RIT score of 202 by 3
 points for one year of growth or by 5 points for 1.5 years of growth by Spring 1718.</li><li><b>Not at grade level</b> (as of Jan 2018) <b>in ELA</b>; your approximate grade level is 3.6. To get closer to grade level, increase your current RIT score of 195 by 3 points for one year of growth or by 5 points for 1.5 years of growth by Spring 1718.</li>",<li><b>Benchmark Math 1 score was at or above network average</b>; you scored 42% while your classsmates scored 40%</li><li><b>Benchmark ELA 1 score was at or above the network average</b>; you scored 47% while your classsmates scored 39%</li><li><b>Attendance 100%</b> - 107/107 days. Rate last year: 100%</li><li><b>On track to grow at least 1 year in Mathematics </b> this year! Current RIT score is 202 approximate grade level is 4</li><li><b>Reclassified as Fluent English Proficient</b> on 08-23-2011!</li>,,Net average is negative,Net average is negative,NO,1,1
